                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60913,                0.36184,                 0.9273,                0.86826,                0.93108,                0.93924,                0.80427,                 0.5386,                 0.2973,                0.84899,              0.0099654,              0.0099654,              0.0099654
                     37,                0.61223,                0.36211,                0.92755,                0.86056,                0.94218,                0.93496,                0.80047,                 0.5351,                0.29376,                0.84824,              0.0099644,              0.0099644,              0.0099644
                     38,                0.60992,                0.35862,                0.92618,                0.87616,                0.94703,                0.93378,                0.79883,                0.53406,                 0.2941,                0.84743,              0.0099634,              0.0099634,              0.0099634
                     39,                0.60973,                0.35933,                0.92508,                0.88504,                0.94237,                0.93387,                0.79332,                0.53338,                0.29266,                0.84583,              0.0099624,              0.0099624,              0.0099624
                     40,                0.60621,                 0.3586,                0.92556,                0.87593,                0.93873,                0.93571,                0.79505,                0.53468,                0.29254,                0.84693,              0.0099614,              0.0099614,              0.0099614
                     41,                0.60596,                0.35701,                 0.9245,                0.87072,                0.94595,                0.93655,                 0.8057,                0.53436,                0.29114,                0.84654,              0.0099604,              0.0099604,              0.0099604
                     42,                0.60678,                0.35755,                0.92446,                0.86085,                0.94716,                0.93298,                0.80478,                0.53334,                0.28983,                0.84557,              0.0099594,              0.0099594,              0.0099594
                     43,                0.60478,                0.35499,                0.92478,                0.85315,                0.95338,                0.93253,                0.80564,                0.53188,                0.28891,                0.84451,              0.0099584,              0.0099584,              0.0099584
                     44,                0.60362,                0.35357,                0.92533,                0.85275,                0.94969,                0.93273,                0.80682,                0.53132,                0.28884,                0.84535,              0.0099574,              0.0099574,              0.0099574
                     45,                0.60118,                0.35227,                0.92317,                0.85006,                 0.9466,                0.92807,                0.80059,                0.53063,                 0.2874,                 0.8458,              0.0099564,              0.0099564,              0.0099564
                     46,                0.60294,                0.35334,                0.92284,                0.84899,                0.94711,                0.92641,                0.79857,                0.52976,                0.28673,                0.84556,              0.0099555,              0.0099555,              0.0099555
                     47,                0.60043,                0.35149,                 0.9247,                0.84878,                0.95176,                 0.9282,                0.80125,                0.52925,                0.28611,                0.84604,              0.0099545,              0.0099545,              0.0099545
                     48,                0.59919,                0.35069,                0.92285,                0.84613,                0.94503,                0.93059,                0.80223,                0.52827,                0.28615,                 0.8461,              0.0099535,              0.0099535,              0.0099535
                     49,                0.59805,                0.35036,                0.92085,                0.83913,                0.95138,                0.93015,                0.80329,                0.52768,                0.28637,                0.84553,              0.0099525,              0.0099525,              0.0099525
                     50,                0.59749,                0.34984,                0.92149,                0.85017,                 0.9469,                0.93158,                0.80547,                0.52715,                0.28666,                0.84494,              0.0099515,              0.0099515,              0.0099515
                     51,                0.59587,                0.34851,                0.92185,                0.85428,                0.94544,                0.93142,                0.80248,                0.52658,                0.28629,                0.84474,              0.0099505,              0.0099505,              0.0099505
                     52,                0.59609,                0.34658,                 0.9198,                0.85637,                0.94392,                0.92984,                0.80529,                0.52567,                0.28584,                0.84432,              0.0099495,              0.0099495,              0.0099495
                     53,                 0.5968,                0.34771,                 0.9228,                0.85646,                0.94489,                0.92857,                0.80541,                0.52505,                0.28537,                0.84415,              0.0099485,              0.0099485,              0.0099485
                     54,                0.59252,                0.34649,                0.92169,                0.85278,                0.94528,                0.92762,                0.80677,                0.52472,                0.28477,                  0.844,              0.0099475,              0.0099475,              0.0099475
